x,y
0.000000,0.206897
0.000000,0.275862
0.000000,0.310345
0.000000,0.344828
0.000000,0.379310
0.006024,0.137931
0.006024,0.172414
0.006024,0.206897
0.006024,0.241379
0.006024,0.275862
0.006024,0.344828
0.006024,0.413793
0.006024,0.482759
0.012048,0.103448
0.012048,0.172414
0.012048,0.241379
0.012048,0.275862
0.012048,0.310345
0.012048,0.379310
0.012048,0.413793
0.012048,0.517241
0.012048,0.551724
0.018072,0.103448
0.018072,0.206897
0.018072,0.275862
0.018072,0.310345
0.018072,0.344828
0.018072,0.448276
0.018072,0.482759
0.018072,0.517241
0.018072,0.586207
0.024096,0.034483
0.024096,0.137931
0.024096,0.206897
0.024096,0.241379
0.024096,0.310345
0.024096,0.379310
0.024096,0.413793
0.024096,0.551724
0.024096,0.620690
0.030120,0.034483
0.030120,0.068966
0.030120,0.103448
0.030120,0.172414
0.030120,0.448276
0.030120,0.517241
0.030120,0.586207
0.030120,0.620690
0.030120,0.655172
0.036145,0.034483
0.036145,0.103448
0.036145,0.137931
0.036145,0.482759
0.036145,0.551724
0.036145,0.586207
0.036145,0.655172
0.042169,0.000000
0.042169,0.034483
0.042169,0.103448
0.042169,0.517241
0.042169,0.551724
0.042169,0.620690
0.042169,0.655172
0.048193,0.000000
0.048193,0.034483
0.048193,0.068966
0.048193,0.586207
0.048193,0.620690
0.048193,0.689655
0.048193,0.724138
0.054217,0.000000
0.054217,0.034483
0.054217,0.586207
0.054217,0.655172
0.054217,0.689655
0.054217,0.724138
0.060241,0.000000
0.060241,0.034483
0.060241,0.068966
0.060241,0.620690
0.060241,0.655172
0.060241,0.758621
0.066265,0.000000
0.066265,0.034483
0.066265,0.068966
0.066265,0.103448
0.066265,0.689655
0.072289,0.000000
0.072289,0.103448
0.072289,0.172414
0.072289,0.206897
0.072289,0.241379
0.072289,0.620690
0.072289,0.724138
0.072289,0.793103
0.078313,0.034483
0.078313,0.068966
0.078313,0.137931
0.078313,0.206897
0.078313,0.241379
0.078313,0.655172
0.078313,0.724138
0.078313,0.758621
0.078313,0.793103
0.084337,0.103448
0.084337,0.137931
0.084337,0.172414
0.084337,0.655172
0.084337,0.689655
0.084337,0.724138
0.084337,0.793103
0.090361,0.724138
0.090361,0.758621
0.090361,0.793103
0.096386,0.689655
0.096386,0.758621
0.096386,0.793103
0.102410,0.724138
0.102410,0.827586
0.108434,0.758621
0.108434,0.793103
0.108434,0.827586
0.114458,0.724138
0.114458,0.758621
0.114458,0.793103
0.114458,0.827586
0.120482,0.793103
0.120482,0.862069
0.126506,0.758621
0.126506,0.827586
0.126506,0.896552
0.132530,0.793103
0.132530,0.827586
0.132530,0.862069
0.138554,0.758621
0.138554,0.793103
0.138554,0.862069
0.138554,0.896552
0.144578,0.758621
0.144578,0.793103
0.144578,0.862069
0.144578,0.896552
0.150602,0.793103
0.150602,0.827586
0.150602,0.896552
0.156627,0.758621
0.156627,0.793103
0.156627,0.827586
0.156627,0.896552
0.162651,0.758621
0.162651,0.793103
0.162651,0.862069
0.162651,0.896552
0.168675,0.758621
0.168675,0.793103
0.168675,0.862069
0.168675,0.896552
0.174699,0.793103
0.174699,0.827586
0.180723,0.758621
0.180723,0.793103
0.180723,0.862069
0.180723,0.896552
0.186747,0.827586
0.186747,0.862069
0.186747,0.896552
0.192771,0.758621
0.192771,0.793103
0.192771,0.827586
0.192771,0.862069
0.192771,0.896552
0.198795,0.827586
0.204819,0.758621
0.204819,0.827586
0.204819,0.862069
0.210843,0.724138
0.210843,0.758621
0.210843,0.793103
0.210843,0.862069
0.210843,0.896552
0.216867,0.827586
0.216867,0.862069
0.222892,0.724138
0.222892,0.793103
0.222892,0.827586
0.222892,0.862069
0.228916,0.689655
0.228916,0.758621
0.228916,0.827586
0.234940,0.724138
0.234940,0.758621
0.234940,0.827586
0.234940,0.862069
0.240964,0.689655
0.240964,0.758621
0.240964,0.827586
0.240964,0.862069
0.246988,0.655172
0.246988,0.689655
0.246988,0.724138
0.246988,0.758621
0.253012,0.620690
0.253012,0.689655
0.253012,0.793103
0.253012,0.827586
0.259036,0.655172
0.259036,0.724138
0.259036,0.758621
0.259036,0.793103
0.259036,0.827586
0.265060,0.586207
0.265060,0.655172
0.265060,0.689655
0.265060,0.724138
0.265060,0.793103
0.271084,0.586207
0.271084,0.655172
0.271084,0.724138
0.277108,0.551724
0.277108,0.620690
0.277108,0.689655
0.277108,0.724138
0.277108,0.758621
0.277108,0.793103
0.283133,0.517241
0.283133,0.551724
0.283133,0.586207
0.283133,0.655172
0.283133,0.758621
0.289157,0.620690
0.289157,0.689655
0.289157,0.724138
0.289157,0.758621
0.295181,0.482759
0.295181,0.551724
0.295181,0.620690
0.295181,0.655172
0.295181,0.689655
0.301205,0.448276
0.301205,0.482759
0.301205,0.517241
0.301205,0.586207
0.301205,0.620690
0.301205,0.655172
0.301205,0.689655
0.307229,0.448276
0.307229,0.551724
0.307229,0.586207
0.307229,0.620690
0.307229,0.689655
0.307229,0.724138
0.313253,0.413793
0.313253,0.482759
0.313253,0.517241
0.313253,0.655172
0.319277,0.379310
0.319277,0.448276
0.319277,0.482759
0.319277,0.551724
0.319277,0.620690
0.319277,0.655172
0.319277,0.689655
0.325301,0.379310
0.325301,0.413793
0.325301,0.448276
0.325301,0.482759
0.325301,0.586207
0.325301,0.655172
0.331325,0.344828
0.331325,0.482759
0.331325,0.551724
0.331325,0.620690
0.331325,0.655172
0.337349,0.310345
0.337349,0.344828
0.337349,0.413793
0.337349,0.482759
0.337349,0.517241
0.337349,0.586207
0.337349,0.620690
0.343373,0.310345
0.343373,0.344828
0.343373,0.448276
0.343373,0.517241
0.343373,0.551724
0.349398,0.275862
0.349398,0.344828
0.349398,0.413793
0.349398,0.482759
0.349398,0.586207
0.355422,0.310345
0.355422,0.379310
0.355422,0.448276
0.355422,0.517241
0.361446,0.241379
0.361446,0.344828
0.361446,0.413793
0.361446,0.482759
0.361446,0.517241
0.361446,0.551724
0.367470,0.241379
0.367470,0.275862
0.367470,0.344828
0.367470,0.379310
0.367470,0.413793
0.367470,0.448276
0.367470,0.482759
0.373494,0.206897
0.373494,0.310345
0.373494,0.379310
0.373494,0.413793
0.373494,0.482759
0.373494,0.517241
0.379518,0.241379
0.379518,0.344828
0.379518,0.413793
0.385542,0.172414
0.385542,0.241379
0.385542,0.275862
0.385542,0.344828
0.385542,0.379310
0.385542,0.448276
0.391566,0.206897
0.391566,0.275862
0.391566,0.310345
0.391566,0.379310
0.391566,0.482759
0.397590,0.172414
0.397590,0.241379
0.397590,0.275862
0.397590,0.310345
0.397590,0.344828
0.397590,0.413793
0.397590,0.448276
0.403614,0.137931
0.403614,0.172414
0.403614,0.379310
0.403614,0.413793
0.409639,0.137931
0.409639,0.172414
0.409639,0.206897
0.409639,0.241379
0.409639,0.310345
0.409639,0.344828
0.409639,0.448276
0.415663,0.206897
0.415663,0.275862
0.415663,0.310345
0.415663,0.344828
0.415663,0.379310
0.421687,0.137931
0.421687,0.206897
0.421687,0.241379
0.421687,0.310345
0.421687,0.379310
0.421687,0.448276
0.427711,0.172414
0.427711,0.275862
0.427711,0.310345
0.427711,0.344828
0.427711,0.379310
0.427711,0.413793
0.427711,0.448276
0.433735,0.137931
0.433735,0.172414
0.433735,0.241379
0.433735,0.275862
0.433735,0.448276
0.433735,0.482759
0.439759,0.206897
0.439759,0.241379
0.439759,0.310345
0.439759,0.379310
0.439759,0.413793
0.439759,0.482759
0.445783,0.137931
0.445783,0.241379
0.445783,0.275862
0.445783,0.344828
0.445783,0.448276
0.445783,0.517241
0.451807,0.172414
0.451807,0.241379
0.451807,0.310345
0.451807,0.344828
0.451807,0.379310
0.451807,0.413793
0.451807,0.448276
0.451807,0.517241
0.457831,0.172414
0.457831,0.241379
0.457831,0.275862
0.457831,0.413793
0.457831,0.482759
0.457831,0.551724
0.457831,0.586207
0.463855,0.206897
0.463855,0.275862
0.463855,0.344828
0.463855,0.448276
0.463855,0.517241
0.463855,0.551724
0.463855,0.620690
0.469880,0.206897
0.469880,0.241379
0.469880,0.275862
0.469880,0.310345
0.469880,0.379310
0.469880,0.413793
0.469880,0.482759
0.469880,0.551724
0.469880,0.620690
0.475904,0.206897
0.475904,0.344828
0.475904,0.379310
0.475904,0.413793
0.475904,0.448276
0.475904,0.517241
0.475904,0.551724
0.475904,0.586207
0.475904,0.655172
0.481928,0.241379
0.481928,0.310345
0.481928,0.379310
0.481928,0.482759
0.481928,0.517241
0.481928,0.586207
0.481928,0.655172
0.487952,0.275862
0.487952,0.344828
0.487952,0.379310
0.487952,0.413793
0.487952,0.448276
0.487952,0.482759
0.487952,0.551724
0.487952,0.620690
0.487952,0.655172
0.487952,0.689655
0.493976,0.310345
0.493976,0.413793
0.493976,0.448276
0.493976,0.517241
0.493976,0.586207
0.493976,0.620690
0.493976,0.655172
0.493976,0.724138
0.493976,0.758621
0.500000,0.310345
0.500000,0.379310
0.500000,0.413793
0.500000,0.482759
0.500000,0.517241
0.500000,0.586207
0.500000,0.689655
0.500000,0.793103
0.506024,0.344828
0.506024,0.379310
0.506024,0.448276
0.506024,0.482759
0.506024,0.551724
0.506024,0.620690
0.506024,0.724138
0.512048,0.413793
0.512048,0.482759
0.512048,0.586207
0.512048,0.620690
0.512048,0.689655
0.512048,0.724138
0.512048,0.758621
0.512048,0.827586
0.518072,0.448276
0.518072,0.517241
0.518072,0.551724
0.518072,0.620690
0.518072,0.655172
0.518072,0.724138
0.518072,0.758621
0.518072,0.827586
0.518072,0.862069
0.524096,0.448276
0.524096,0.586207
0.524096,0.620690
0.524096,0.689655
0.524096,0.724138
0.524096,0.758621
0.524096,0.793103
0.524096,0.896552
0.530120,0.482759
0.530120,0.551724
0.530120,0.655172
0.530120,0.724138
0.530120,0.758621
0.530120,0.793103
0.530120,0.862069
0.530120,0.931034
0.536145,0.586207
0.536145,0.620690
0.536145,0.689655
0.536145,0.724138
0.536145,0.827586
0.536145,0.896552
0.536145,0.931034
0.536145,0.965517
0.542169,0.655172
0.542169,0.689655
0.542169,0.724138
0.542169,0.758621
0.542169,0.793103
0.542169,0.862069
0.542169,0.965517
0.548193,0.620690
0.548193,0.655172
0.548193,0.758621
0.548193,0.793103
0.548193,0.896552
0.554217,0.586207
0.554217,0.620690
0.554217,0.689655
0.554217,0.827586
0.554217,0.931034
0.560241,0.551724
0.560241,0.655172
0.560241,0.724138
0.560241,0.793103
0.560241,0.827586
0.560241,0.896552
0.560241,0.931034
0.566265,0.517241
0.566265,0.586207
0.566265,0.689655
0.566265,0.758621
0.566265,0.827586
0.566265,0.896552
0.572289,0.551724
0.572289,0.620690
0.572289,0.655172
0.572289,0.724138
0.572289,0.758621
0.572289,0.862069
0.578313,0.482759
0.578313,0.517241
0.578313,0.551724
0.578313,0.586207
0.578313,0.620690
0.578313,0.689655
0.578313,0.724138
0.578313,0.758621
0.578313,0.827586
0.584337,0.448276
0.584337,0.551724
0.584337,0.655172
0.584337,0.724138
0.584337,0.758621
0.584337,0.793103
0.584337,0.827586
0.590361,0.482759
0.590361,0.586207
0.590361,0.689655
0.590361,0.724138
0.590361,0.758621
0.590361,0.793103
0.596386,0.413793
0.596386,0.448276
0.596386,0.482759
0.596386,0.551724
0.596386,0.586207
0.596386,0.620690
0.596386,0.655172
0.596386,0.689655
0.596386,0.724138
0.596386,0.758621
0.602410,0.379310
0.602410,0.448276
0.602410,0.517241
0.602410,0.586207
0.602410,0.620690
0.602410,0.689655
0.608434,0.379310
0.608434,0.413793
0.608434,0.482759
0.608434,0.551724
0.608434,0.586207
0.608434,0.655172
0.614458,0.379310
0.614458,0.413793
0.614458,0.448276
0.614458,0.482759
0.614458,0.620690
0.614458,0.655172
0.614458,0.689655
0.620482,0.344828
0.620482,0.413793
0.620482,0.482759
0.620482,0.551724
0.620482,0.620690
0.620482,0.655172
0.626506,0.344828
0.626506,0.448276
0.626506,0.517241
0.626506,0.586207
0.632530,0.310345
0.632530,0.344828
0.632530,0.413793
0.632530,0.448276
0.632530,0.482759
0.632530,0.551724
0.632530,0.620690
0.638554,0.344828
0.638554,0.413793
0.638554,0.482759
0.638554,0.551724
0.638554,0.586207
0.644578,0.310345
0.644578,0.344828
0.644578,0.379310
0.644578,0.448276
0.644578,0.517241
0.650602,0.310345
0.650602,0.413793
0.650602,0.482759
0.650602,0.517241
0.650602,0.586207
0.656627,0.310345
0.656627,0.379310
0.656627,0.413793
0.656627,0.482759
0.656627,0.517241
0.662651,0.275862
0.662651,0.344828
0.662651,0.413793
0.662651,0.551724
0.662651,0.586207
0.668675,0.310345
0.668675,0.344828
0.668675,0.379310
0.668675,0.448276
0.668675,0.517241
0.674699,0.275862
0.674699,0.310345
0.674699,0.413793
0.674699,0.482759
0.674699,0.551724
0.680723,0.275862
0.680723,0.310345
0.680723,0.344828
0.680723,0.379310
0.680723,0.413793
0.680723,0.448276
0.680723,0.482759
0.680723,0.551724
0.680723,0.586207
0.686747,0.275862
0.686747,0.310345
0.686747,0.448276
0.686747,0.482759
0.686747,0.517241
0.686747,0.551724
0.692771,0.310345
0.692771,0.344828
0.692771,0.413793
0.692771,0.448276
0.692771,0.482759
0.692771,0.586207
0.692771,0.620690
0.698795,0.275862
0.698795,0.310345
0.698795,0.379310
0.698795,0.413793
0.698795,0.482759
0.698795,0.551724
0.704819,0.310345
0.704819,0.344828
0.704819,0.379310
0.704819,0.448276
0.704819,0.482759
0.704819,0.517241
0.704819,0.551724
0.704819,0.586207
0.710843,0.344828
0.710843,0.379310
0.710843,0.413793
0.710843,0.448276
0.710843,0.482759
0.710843,0.620690
0.716867,0.310345
0.716867,0.344828
0.716867,0.379310
0.716867,0.448276
0.716867,0.517241
0.716867,0.551724
0.716867,0.586207
0.716867,0.620690
0.722892,0.310345
0.722892,0.344828
0.722892,0.379310
0.722892,0.448276
0.722892,0.551724
0.722892,0.586207
0.722892,0.620690
0.728916,0.379310
0.728916,0.413793
0.728916,0.482759
0.728916,0.551724
0.728916,0.586207
0.728916,0.655172
0.734940,0.310345
0.734940,0.413793
